,sentiment,confidence,dominant_emotion
"Радев е много голям стратег, също като Тръмп и Пътинг. Такъв стратег че бабите не знаят къде се мамират като ги видят, от стратегията която излъчват. Абе и тримата са хвани единия, удари другия..",Негативен,0.93,презрение
"А, да подпишеш договор за въздух под налагане - какво управление е това бе, терикат селски от хасковска околия?",Негативен,0.97,гняв
"Резидента Крадеф - изведнъж откри топлата вода...Ам ти къде беше през последните години - за лимонада ли ?Колко служебни правителства назначи бре ?А службите - на кого са подчинени..?Кой назначава шефовете ?Аман от добре подплатени ""спасители""...с джакузи и телячки до леглото...",Негативен,0.95,гняв
"По голяма излагация от тая чорапена кукла на конци няма! Боташ и шарлатаните, които ни натресе ни направиха по бедни. Ти си основна част от проблема.",Негативен,0.98,гняв
А нещо за Боташ каза ли тоя парсцал..,Негативен,0.92,презрение
"Че тоя какво е съградил през живота си че ще ""разгражда""? Цял живот е бил на държавната ясла ! Северозападът винаги е бил бастион на комунистите , и затова са най-бедни ! И какво значи , хем е лошо управлявана , хем не е ""бедна""? Тоя наясно ли е ,какви богатии хора земевладелци има в този край ? И той какво ще направи, ще върне ТКЗС-тата ли ? А как ще отреже от някакъв ресурс партии , за които са гласували стотици хиляди българи ? Чного сбъркана личност!",Негативен,0.97,гняв
"мистър Боташ управлява 4 година България със служебни министерства. Овладя всички служби, 4 броя конституционни съдии са негови, Сега иска да стане премиер и чрез парламентарната квота да вкара още 2 конституционни съдии, след това е лесно да смени конституцията и да стане като путин пожизнен диктаатор. Народът е *** , ако гласува за ффаттмак",Негативен,0.96,гняв
"България не плаща за войни, а печели от продажбата на боеприпаси. А войната я почна фашистка имперска Русия, защото не и стига територията и не е бедна, а лошо управлявана. И никой не иска да копае картофи, всички искат гражданчета айти на 200 бона. това няма как да промените, освен да ги принудят да доят крави и да копаят царевица.",Негативен,0.86,гняв
некадърен президент и 9 правителства назначени от него е равно на лошо управление.,Негативен,0.98,гняв
ТЕ МОГАТ ДА УПРАВЛЯВАТ САМО С РЕПРЕСИИ....... ВИЖДАМЕ КАКВО ПРАВИ СЕГА МИЛИЦИЯТА,Негативен,0.95,гняв
"Преди 10 години и китайци се пробваха да развиват земеделие в северозападна България. И те се провалиха. Имаха всичко и капитали, и техника, и работници, и ноухау. Не стана.",Негативен,0.92,разочарование
Полит Бюро на Продадена България.,Негативен,0.88,гняв
Тоя управляваше 4 от последните 5 години и пак недоволен. Намусено мрънкало.,Негативен,0.95,раздразнение
До къде го докара - да повтаря думите на Асен Василев?!,Негативен,0.86,разочарование
"OT 6 ГОДИШЕН МЕЧТАЕ ДА УПРАВЛЯВА..ДЕТСКАТА МУ МЕЧТА, ДРУГА РАБОТА НЕ БАРВА.....ПУТИН ВТОРИ НА БАЛКАНИТЕ...",Негативен,0.86,недоволство
"Не желая на власт да е индивида, чието служебно правителство принуждаваше хората да се инжектират с ковид отровите за да им издаде зелен сертификат, който да им позволи да се забавляват. Фашисти нямат място във властта.",Негативен,0.98,гняв
"Ония от ДПС на Шиши, като купат от Раковица, та през Кошарник и Младеново до Нов път и Чичо Румен има да се чуди: Кво стана!",Негативен,0.72,ирония
"Б.Борисов: Нито една социология не съм платил, а другите плащат. Какво е това изказване бре, пожарникар? Личи си, че си завършил Магнаурската школа в Симеоново",Негативен,0.92,презрение
"Ти въобще някога нещо плащал ли си или,само прибираш в чекмеджето с кюлчетата?",Негативен,0.94,гняв
Що да плащаш като са твоя собственост? На лъжливото пвчарче никой не вярва.,Негативен,0.86,недоверие
Вече тикво!,Негативен,0.86,гняв
На този не може да се вярва и 1%.,Негативен,0.98,недоверие
Колко десетилетия ходи по грсдове и села бе джитко бибитков да раздаваш пари на ръка?,Негативен,0.82,гняв
"Не направихте и един път нормално. И една велоалея. Тези по времето на Фандъкова до последната са кофа жълта боя, сложена някъде си. Много повече се очакваше от вас, бидейки архитекти на бъдещето ни. *** сте, до последния, и за всяка кофа боя за велоалея сте присвоили по милион. И ще ги върнете тия пари.",Негативен,0.98,гняв
"Не си платил социологията, бащице. Но гласува цялата администрация за вас, заедно със семействата им. На фамилен принцип, както е при мафията.",Негативен,0.92,гняв
Гузен негонен бяга!,Негативен,0.78,вина
Шиши наби канчето на Тиквата и той даде заден. Винаги е бил зависим страхливец.,Негативен,0.96,презрение
"Мачкай Радев крадците и продажниците на България. На изборите най-малко с 40% , провицията ще разкаже играта на двете прасета.",Негативен,0.92,гняв
"Пеевски държи Борисов с видео ,на което Борисов лana дуgyka на Пеевски. Пеевски си поиска ""услугата"" за да не започне неговият човек Сарафов делото по случая Барселона (прокуратурата още не е превела на български испанският доклад). В средите на ГЕРБ знаят за видеото (който не вярва да пита и да проследи реакцията им). В ДПС доста хора са го гледали. В ГЕРБ са ужасени и предпочитат дело за корупция пред това видеото да излезе на яве (въпреки ,че е доста кратко - под минута е).",Негативен,0.96,възмущение
"Арестът на Бойко беше чудесна новина и можем само да съжаляваме, че т.нар. правосъдна система на България не намери смелост и доблест да го настани там, където му е мястото.",Негативен,0.68,разочарование
"Прокуратурата е толкова смотана, че не може да извади никакви състоятелни аргументи за пред съда. Но некадърниците в тази институция получават тлъсти заплати, само и само да служат като бухалки на Буци и Гуци",Негативен,0.98,гняв
"Кое е верно и Кое не? Борисов има ли имот зад границата ни? Има. Има ли дете? Има. Горанов взимал ли е ежемесечно пари от Божков? Взимал е. Арнаудова била ли е посредник между Горанов и Божков, била е. И кое не верно. ТОВА Е предизборна атака. Гледай те повторението по Нова телевизия и ще разберете, защо едни и същи са на първа линия в ""Социологията""? Кольо Колев каза, как се ""печелят"" избори. Който даде най много пари отива първи. Е, къде е истината? Избори ли?",Негативен,0.86,възмущение
"""Ало, Ваньо?""""Ти си го Избра"";Резерва на НЗОК;Хазартния бизнес на Божков;""Хемусгейт"";""Кюлчета и пачки"".......Бойчо струва МИЛИАРДИ на държавата....Саздов, аверчето на Бойчо; Саздов, създателят на тенис клуб ""Банкя""; Саздов, шефът на инициативния комитет, издигнал Бойчо за кмет на София;Саздов ПРЕКРАТИ ТИХОМЪЛКОМ широко РЕКЛАМИРАНОТО дело срещу Елена Йончева за 1 МЛН. лв.Йончева изнесе данни за ""Барселонагейт"" за ПРАНЕ на 3.7 МЛН. ЕВРО.ОТКАЗЪТ на Саздов ДА СЪДИ Й ...",Негативен,0.96,гняв
Герберастките крадци осигуриха и правнуците си. Толкова милиарди откраднаха от ЕС.,Негативен,0.98,гняв
"Борисов е поне 3 стъпала по-ниско от Румен Радев по интелект, морал и политически ценности. От тук произтичат агресивните атаки на Борисов към всеки опонент, който го превъзхожда.Това агресивно популистко поведение е типично за представителите на ГЕРБ/ СДС, които са изнервени, че властта им се изплъзва и заедно с това завладяната държава.",Негативен,0.96,гняв
"Тиквата беше тесняк едно време, но като всеки ром миришеше на пушек, дори след баня.",Негативен,0.96,презрение
"Всеки знае кои да крадците на милиарди и заради които България е бедна. Това са първи СДС начело с Иван Костов, а след това ГЕРБ начело с Бойко Борисов. И за да са още по-ясно нещата - накрая се обединиха и сега са ГЕРБ-СДС.",Негативен,0.95,гняв
"И на никой вече не му прави впечатление израза: ""а купиш социолигия"" /което е абсолютна глупост/, който беше наложен от неграмотния милиционер БОЙКО БОРИСОВ.",Негативен,0.95,гняв
"До: ПловдивНе си от Пловдив,а от село,нали?",Негативен,0.86,презрение
"За какво да ви е благодарен който и да било ! Какво сте направили което е трайно и не сте го поправяли ! Строите едни пътища преди избори който пътища поправяте веднага след избори ! Усвояване едни милиярди със магнитни престъпници , куче влачи рейс диря няма ! За 15 - 20 години на власт така сте се впили в държавния механизъм че благодарение на вас държавност в България няма ! Корупция на всякъде в България и със най голямата си наглост искате награда !",Негативен,0.98,гняв
"Е да видим резултатите от изборите,да не се окаже,че избирателите на Борисов са гласували за другия Генерал.Представям си физиономията на Бибитков",Негативен,0.78,ирония
"Каквито и да ги дрънкате за Борисов( а те са все едни и същи простотии) оставате си малки ,посредствени,незначителни",Негативен,0.95,презрение
"Само абсолютен наглец може да каже,че младите трябвало да се радват на Герб-синоним на корупция и мизерия.Същите тези,които ги изгониха,протестирайки на площадите,сега трябвало да се радват?1 500 000 бяха на площада,забрави ли ,бе,мутр0 ,корумпирана?",Негативен,0.98,гняв
Стотици милиарди откраднаха ГЕРБ и СДС. Дали не плащат на социолозите?!,Негативен,0.95,гняв
"Ха,ха, ха, плювачите пак започнаха да пипат и да дрънкат старите небивалици.Каквото и да правите не можете да стъпките на малкия пръст на Борисов.",Негативен,0.82,презрение
"ББ не плаща за социология.Той сипва в коритото,а т.нар. социолози наоколо щастливо грууххтят и повдигат дзурли за още.",Негативен,0.95,презрение
"Така си е. Е наивници се връзват на лъжите и опорките на престъпниците от подмяната.. тяхното МВР хващало уж купувачи на гласове, а подмяната си купуват наистина гласове и никой не ги пипа..",Негативен,0.94,гняв
Селянин от класа.,Негативен,0.62,презрение
"Знаем, че ГЕРБ и СДС винаги нагло лъжат.",Негативен,0.97,възмущение
"Тиквата е в Будна Кома..........Халюцинира, Бълнува и Умира от Страх............Абе Мутра........",Негативен,0.96,гняв
Кой крадва толкоз години..кой е в схемите- още от фабриката за цигари в Крайморие.. И направи от цяла държава - селска ***..,Негативен,0.96,гняв
Той строи..той..дава...той прави..ТОЙ..ТОЙ..ТОЙ...ТОЙ...Без БАЦЕ - дори и слънцето не изгрява..,Негативен,0.82,сарказъм
"Да лъже колкото си иска,всички знаят,че е лъжец,измамник и алчен,корумпиран индивид....Но ,само,са не се съблича пак по лански,защотоэе наистина отвратително и противно....Може и господарят му да реши да се съблече по бански или по гашти,а това ще е страшно...",Негативен,0.98,отвращение
Кога ли ще гледа кат Бай Тошо на 10 ноември...,Негативен,0.62,ирония
Лакърдиите на Чекмеджан втръснаха отдавна..,Негативен,0.92,досада
Е как да плати чорбаджията ....кат е свикнал само да взема ..,Негативен,0.86,недоволство
"Трябва обикаляте България издокарана,костюмиран като Радев.Вижте го него колко е наперено,официален като за парад Ха,ха,ха, голям майтап е с това парвеню",Негативен,0.86,презрение
"Номер 11-ет, ако съдя по твоя личен капацитет,то веднага виждам един субект,който е на герберската ясла и му се иска да остане там.Борисов преди гадини казваше:""Ако партията която оглавявам загуби избори,на другия ден си тръгвам за Банкя"" На 19.04.26-година,около 21 часА,той ще види голямото си сгромолясване,нещо което ще го смъкне на земята и ще отрезвее завинаги.",Негативен,0.95,гняв
"Е затова г- н Борисов ви мразят,защото имате принципи от които не отстъпвате.Всичко останало е виж и колчо да те лажем",Позитивен,0.72,одобрение
"За да има Радев мандат, трябва да бие поне двойно-тройно, няколко процента разлика не му дават нищо. ГЕРБ 2009 би 40 на 15, Царя 2001 би също толкова, така че левичарчета НЕ се надявайте, НЯМА да я бъде!",Негативен,0.88,презрение
"*** вие действително ли мислите, че левите на Радев и ПП ДБ ще управляват???? Нещо с мозъка???",Негативен,0.96,гняв
Да ви е социологията. ПЛАТЕНИ ***.,Негативен,0.95,гняв
"ГЕРБ води с МНОГО. И в САЩ даваха Камала Харис да води с 10 процента, пък то Тръмп би с 5. Хората ви разбраха какви сте, не казват за кого ще гласуват, огромна част просто не отговарят или отпращат социолозите, тъй като в момента са под голямо напрежение, и това са ВСЕ хора на ГЕРБ. Тъй че очаквайте голяма изненада.",Негативен,0.62,пренебрежение
"Знаем, знаем, не сме вчерашни.",Неутрален,0.72,увереност
"Съдейки по капацитета на залите, Борисов трябва да бие Радев 3 към 2. По-точна социалогия няма.",Неутрален,0.72,ирония
"До: анонименАааа,питайте Киро-5 тунела,Дунав мост,завод за коли.....Те много обещаха !",Негативен,0.82,разочарование
Прав е!,Позитивен,0.82,одобрение
"До: цгфуйблшш-Има магистрали,рушат се,А какво направиха Продажниците,за да казваме че се руши!??",Негативен,0.86,гняв
"Го закъса за еликторат та даже обикаля из маалите такова видео видях в тубата.Аз помня как казваше на ПП-ДБ,че се е съгласил с тях да се дава оръжие на Украйна,за да има сглобка и правителство.Що сега не излезе и смело да каже аз ви нагласих в клуба на багатите.Нещо не смее а?",Негативен,0.91,недоволство
До: Cec-Е не е като Петроханската Партия да се гаври с деца! А младите ни имат мноого да учат полезни и положителни неща от ББ!!!,Позитивен,0.62,одобрение
"да бе ,ти си светия . колко окраде с тезмагистралки дет се рушат за година две",Негативен,0.96,гняв
От теб ли да са благодарни бе я недей закача децата само с тях не се заигравай,Негативен,0.88,гняв
"Така си е,Бойко! ППейците не могат място да си намерят след като се оплетоха в собствени лъжи!",Негативен,0.88,гняв
ТИ ЛИ БЕ?,Неутрален,0.62,изненада
продавам *** евтино а журналист е като ефтинапроститутка само дето по гнусен,Негативен,0.98,отвращение
Тик Ток Так,Неутрален,0.95,неутралност
"на петроханските лами , дали ще свалят акаунти , за един приятел питам",Неутрален,0.62,любопитство
и като как си представяте че радев има 90 000 000 гледания ? щото и тик току се чуди,Негативен,0.82,недоверие
Сега и на рублен ако му спрат бот фермата цена няма да имат. 90% от трафика му е фейк. Като него.,Негативен,0.95,презрение
"Аналогично ще се действа и в агитирането за партията на Радев, агенциите му дават над 30% прогнозни резултати, представете си колко фалшиви акаунта са създадени за тази цел...Руските хакери са задействани, а ЕС ще следи за пропаганда и манипулации в социалните мрежи, което вместо да зарадва Радев, го вбеси. Сам се издаде , и то още преди да е дошъл на власт, за какво и за кого се бори!",Негативен,0.93,гняв
"Чакай да схвана, тоест КИТАЙ твърди, че Пеевски мрами. К-и-т-а-й. Ко-мунистите.",Негативен,0.82,сарказъм
"Dneska bege много смели, щом пишат така, срещу пеевски. Дано нямат деца меца родители мродители да се грижът че ....",Негативен,0.86,тревога
"А фалшивите акаунти на петрохаските педофили, елфи, акф и мирчев кога?",Негативен,0.92,гняв
"Всичко му е такова на Говновоза. Лъжи, измами,кражби, далавери и заплахи, най-много обича заплахите. Добре че американците го приключиха,ама май не са му казали и то затова вири нос. Къде ще е почивните дни,в САЩ или Великобритания? Или ще ги гледа само на картинка?",Негативен,0.98,гняв
"Оскар за роля ""купувач на гласове"", трябва да получат ""заловените"" от полицията на алкохолика и поклонник на спорни прокурорки, на яхти и узо Дечев, и другият тройкаджия, секретарят на МВР. Всичко е постановка, фалшификации и подметнати пари.",Негативен,0.96,гняв
"Кметовете с малки изключения са кадри на ГЕРБ, същото важи и за прокурорите, МВР, следствието. Само напоследък ГЕРБ, разбирай ББ, вкара двама съдии от ГЕРБ и в КС, така че служебният министър на МВР има основания да прави забележки и да се ядосва. А ББ по същото време оповестява Аз социология не съм учил От 2009 г. ГЕРБ , т.е. ББ, е управлявал 3 мандата - до 2020 г. и от 2023 досега още три пъти и през цялото това време е въвеждал свои хора навсякъде в държавната и общинска администрация.",Негативен,0.88,гняв
;)))) mvr proizvejda falshivi dokumenti i posle gi hvasta...maliii goliam vic,Негативен,0.86,насмешка
"В ход е хулиганството на алкохолика и любител на яхти, спящият по пейки пиян, Дечев, също и на неговия копой с когото в училище едва са закърпвали среден 3.",Негативен,0.95,презрение
Отлично г-н Дечев добра работа ! Статистики не следя гледам реакции !,Позитивен,0.92,одобрение
"Тези петроханци насрочили Прайда на 13 юни, кагато Гойко Митич и Бойко Борисов имат раожден ден, както и Мина Тодорова (любимата на Яворов)",Негативен,0.72,раздразнение
"Пелтечев, от узото ти се е размътила главата, а погледа ти е разтроен, така че ти се привижда, баби.",Негативен,0.94,презрение
"Внимавай, че сме уведомили Тръмп.",Негативен,0.68,заплаха
"Ухаа, кво квиченье пада...... квииииик, квиииик.... кеф...",Позитивен,0.82,наслада
"И КОЙ е лидера по купуване на гласове? Борисеевски ли? Навсякъде ЛЕВИТЕ купуват гласове, бе, тоест ВИЕ, наследниците на Държавна сигурност.",Негативен,0.95,гняв
"Ако ППДБ е в управлението ще има Прайд всяка година.Ако тиквата и прасйето са в управлението Прайд няма да има така,че гласувайте хора за ППДБ!",Позитивен,0.78,надежда
"Вашите кметове, пиянде пепейско?",Негативен,0.92,презрение
Ако Чекмеджан и Дебелян останат под 80 дупетата - ще стане интересно. Ама с толкоз пара - доста трудно...А дано - ама надали..Само МАСОВО гласуване ги спира тия...,Негативен,0.82,разочарование
"Дечев да си каже с ръка на сърцето АКО В ПЛИКОВЕТЕ ИМА ЕДНО ЛИСТЧЕ,НАКОЕТО Е ИЗПИСАНО ""ПП"" КАКВО ЩЕ НАПРАВИ! Ако изобщо има такива пликове,обаче! Смятам,че това е поредната лъжа на Шарлатаните!",Негативен,0.94,гняв
Представят ли си кмет на НН или ГРОБ да си седи мирно и да не организира купуване на гласове ?,Негативен,0.86,възмущение
"Ние всички членове на ЛГБТ обществото отново ще подкрепим ППДБ и на тези избори,защото те подкрепят еднополовите бракове.",Позитивен,0.92,подкрепа
Ако Чекмеджан и Дебелян останат под 80 дупетата - ще стане интереснооАм с толкоз пара - доста трудно...А дано- ам надали..Само МАСОВО гласуване ги спира тия...При ексРезидента Крадеф играят гоуеми кинти и манипулации,Негативен,0.86,недоверие
Яхтичката с Теди,Неутрален,0.78,спокойствие
"Този от небето ли пада. Лойко и Шиши за това са ги поставили там, ако не гласуваш правилно няма да си в списъка за дърва, няма социален патронаж ...",Негативен,0.88,възмущение
"Дебелян им е поставил норматив. Ако не го изпълнят, вече не са кметове. Те се занимават с този спорт отдавна, но чак сега някой дръзна да ги подгони.",Негативен,0.78,възмущение
"Всеки нормален човек над 10-годишна възраст знае кой купува гласове. И това не са нито ПП-ДБ, нито Радев. Това са Борисов и ортакът му в краденето Пеевски.",Негативен,0.95,гняв
"Емил Дечев да не си мисли, че хората не обсъждат помежду си изборите. Говорим, спорим и после стигаме до консенсус и решаваме наше село за кой ще гласува. Дечев ще ни каже какво да правим. Ай, сектир!",Негативен,0.92,гняв
Я как можело да работи МВР когато има свестни хора начело,Позитивен,0.82,одобрение
Лидерите при купуването са двама - Тиквата и Сви ня та,Негативен,0.9,презрение
"Да кметовете на София, Варна и Благоев град масово купуват роомите. Трябва да се сменят.",Негативен,0.86,недоволство
Премиерът Гюров трябва незабавно да смени всички кметове! Както направи с областите управители!,Негативен,0.82,гняв
"Поредната маниполация на ЕМо узото. Ако умник Гюро обяви война, главнокомандващата Йотова последна ще научи. Шарлатанчета от Петроханската сеекта.",Негативен,0.95,гняв
В Бургас например ППДБ са един файтон хора с файтонджия Дървото.Крепост на ГЕРБ!,Негативен,0.82,презрение
"Кажи имената и населените места ,защото иначе е само внушения",Негативен,0.76,недоверие
"АМИ СЕГА АРЕСТУВАЙТЕ И ВСИЧКИ КМЕТОВЕ НА БЪЛГАРИЯ, ЗА ДА Е ЗА ДОВОЛЕН РЕШЕТНИКОВ..... КАКВО ПАДЕНИЕ И КАТАСТРОФА НА ПППУТИНСКИТЕ ПАРТИИ....",Негативен,0.96,гняв
"До: жжт Припомни ми ЕДНО законно нещо да сте направили, жълтопаважни едноклетъчни неможачи.",Негативен,0.98,гняв
"Кметовете са политически лица - избират се на избори, а не се назначават като вас. А вие, служебните и уж равноотдалечените от партии, не се опитвате, а направо си купувате изборите. Факт!",Негативен,0.95,гняв
"А, областните управители, които Вие назначихте?",Неутрален,0.74,любопитство
"Ало Дечев , ясно си личи с колко си завършил , та да не знаеш че съдът определя дали даден човек е купувал гласове или не! Но фактите говорят неумолимо , колкото и да се хвалиш с увеличените проценти , няма нито едно решение на съда , което да потвърждава думите ти! А стана ясно че НПО на Сорос , в частност ПП/ДБ, ССБ , АКФ и ред други установяват цялата власт в страната , стс свое МВР и свои началник служби! Така честни избори не се правят от нелегитимен кабинет , преследващ само политическите",Негативен,0.93,гняв
"Наздраве министър Узо! Вашето МВР, още 9 дни! Шарлатани гнили!",Негативен,0.96,гняв
"ППДБ: Най ни е кеф с наше МВР, че да си правим ала-бала. После сглобка с Радев. Нашите избиратели ПАК ще ни простят",Негативен,0.86,сарказъм
"МИЛИЦИОНЕРА, ЗАЩО НЕ КАЗВАШ ЧЕ РЕШЕТНИКОВ ВЛИЯЕ НА ИЗБОРИТЕ, МНОГО ПОВЕЧЕ ОТ НЕКАКЪВ КМЕТ НА СЕЛО С 5 ЖИТЕЛИ",Негативен,0.88,гняв
кметовете от герб ли са,Неутрален,0.95,любопитство
хамаляха грух грух,Неутрален,0.62,неутралност
Почти парадоксално е престъпник санкциониран по закона Магнитски да сезира Конгреса на САЩ и да иска помощ от скъпите ни американски приятели ! Като в поговорката .,Негативен,0.86,възмущение
Защо трябва да бъде информиран конгресът на САЩ и то от човек в списъка Магнитски?,Негативен,0.72,недоверие
"Явно са здраво са ударени мутрите дпс,щом квичът толкова.",Негативен,0.92,презрение
Крадеца вика дръжте крадеца.,Негативен,0.82,възмущение
Абе Свинекомплекс Родопа няма ли да сезират.,Негативен,0.78,възмущение
Колко трябва да си нагъл за да предприемеш това!,Негативен,0.95,гняв
"До: анонимен 29 По принцип бих се съгласил с теб, но само ако беше споменал и напъните на ППДБ по всички възможни линии по света и у нас. Така ще бъде честно, нали?",Негативен,0.68,скептицизъм
Няма такива нагляри като ДПС,Негативен,0.95,гняв
"Не конгреса а Магнитски,да сезира шиши.",Негативен,0.78,гняв
"Това не е сериозно .Поставят държавата България в много неловко положение пред света . В крайан сметка , ако сме общество изобщо не трябва думичка да има за купуване на избори , а министъра е редно да говори с имена .Трябва цялото общество да знае виновниците , да бъдат заклеймени и ако трябва да не се допускат до избори . Няма нужда целия свят да се занимава кирливите ризи на някой местен бабаит",Негативен,0.95,възмущение
"Какво общо има Конгреса на САЩ с нашите ***!? Дебелян *** защото му хващат купувачите на гласове и му развалят рахатлъка и бройката в НС, която си е заплюл. Пък и кинтите му прибират, та е много на минус.",Негативен,0.97,гняв
"Самнкционирания от САЩ се оплаква на САЩ . Той банкова сметка няма право да ползва съобразно санкциите , тръгнал да се навира . Хич няма хабер ,че го приключиха ,ама не знам дали му казаха .",Негативен,0.88,презрение
Мачкайте МВР. Нормалните хора са с вас,Негативен,0.78,гняв
"Воят на намагнитената говновозка ***,е симфония за сетивата на аудиторията. Префугажда си краят и ***.",Негативен,0.86,отвращение
Той Радев като беше при Карбовски каза : Пеевски беше до тук .Приключи . Това му бяха думите .,Неутрален,0.68,увереност
Приемат се сигнали на POP_ Armenia. com,Неутрален,0.96,спокойствие
"Прасчо усети,че му точат ножа и почна да ***. Трябваше по-рано за Коледа да го заколим,че направи много мръсотии.",Негативен,0.93,гняв
"пеевски се жалва пред целия свят, че не може да пазарува гласове ли?...",Негативен,0.86,възмущение
"Ха ха ха господин ""магнитски"" се оплаквал от МВР и то на кой? На тези които го намагнитизираха за корупция. То цялата му тъй наречена партия,е една криминална структура. А 200 000 евро за купуване на гласове оплакал ли се е,че са му ги конфискували?",Негативен,0.94,презрение
"До: *** Този изтъркан от месеци уж лаф, с който се гордеете, а всъщност е едно голяма нищо, показва единствено тоталната ви ментална недостатъчност. Факт.",Негативен,0.98,гняв
И да си купят криви макарони!,Негативен,0.78,раздразнение
"Моля,другарко,не ми дават да купувам изборите",Негативен,0.78,недоволство
"Да сезират още папата, вселенският патриарх, мюфтията на Мека, арменският поп и далай-лама. Без тяхното съдействие няма да стане!",Негативен,0.86,ирония
Е АНТИБЪЛГАРСКА ПАРТИЯ,Негативен,0.95,гняв
Що бе ? Страхуват ли ви ?,Негативен,0.62,провокация
Щом прасето квииичи значи всичко е наред- идва му реда на пангара.,Негативен,0.78,злорадство
кажи за кои да гласуваме и се мотивираи,Неутрален,0.87,заинтересованост
Щом прасето *** значи всичко е наред- идва му реда на пангара.,Негативен,0.86,гняв
При висока избирателна активност Тиквата и Пра се то умират. Затова всички излезте и гласувайте на 19-ти.,Негативен,0.86,гняв
няма да те извадят от списъка магнитски не се обаждаи повече и се скрии някъдети си позор за българия,Негативен,0.98,презрение
"...така се правят избори с ""наше МВР ""! Педроханци надминава по наглост и бруталност , даже и комунистите ! Изпълняват поръчка , затова и ги натресоха във властта!",Негативен,0.97,гняв
Говори Пиг Брадър! Обявяваме пълна победа за прасетата над хората! Прасета Победа! Това е Новият Световен Свински Ред! Грух Хайл Тортелини!,Негативен,0.78,триумф
"Не знаех, че изборите у нас са в правомощията на американския конгрес.",Негативен,0.78,ирония
"Дебелия, ако вземе по-малко от 10% ще бъде ликвидиран намомента.",Негативен,0.95,гняв
"Брех и на ерменския поп да се обадят и на Ким Чен, крадеца вика хванете крадеца..",Негативен,0.92,възмущение
ДПС Е АНТИКОНСТИТУЦИОННА ПАРТИЯ,Негативен,0.92,възмущение
Хелзинкски комплекс.,Неутрален,0.95,неутралност
"А, арменският поп сезирахте ли?",Негативен,0.58,ирония
Да живее Боташ! Сега малко ала-бала с машините и взимам властта!,Негативен,0.72,сарказъм
"За съжаление Румен Радев вече е ""хванат"" от Шиши! В следващия парламент двамата ""хванати"" послушници, Радев и Борисов, ще бъдят принудени да управляват в коалиция и ще изпълняват всичко което им каже Шиши! Запомнете този пост!",Негативен,0.96,гняв
"Някой някога бил ли е спиран на улицата за да го попитат нещо тези соросоидниРисърчъри? Някой бил ли е допитван по телефон, имейл или по какъвто и да е друг начин? Мен лично никога никой не ме е питал, нито съм вижал да питат някого нещо или познавам някой който е питан. Моля ако има някой, нека пише тук. Иначе сеИЗСИРАМ в дзурлята на нелаФъшкията за поредната гнусна пропаганда на тоя демон.",Негативен,0.97,гняв
"фараоня 0.2, гело 0.8, тошка 0.99, тъкмо да няма субсидия, както и мумията не искаше!",Негативен,0.76,сарказъм
"еххх, де късмет шиши да е втори, пеперунгелите на 4,1%, копеейката 3,99%...",Негативен,0.78,ирония
"Другаре, построивме за 50 години половин магистрала, ммм, Хемус значи. За следващите 50 години ще построим цяла магистрала.",Негативен,0.86,разочарование
"Фалшива агенция, фалшиви прогнози",Негативен,0.95,недоверие
"Който гласува за Румен Радев, значи е съгласен с договора Боташ и България да плаща всеки ден по милион на Турция! Толкова ли сме богати? Заслужава ли човек, който ни натресе този срамен договор, да бъде избран за депутат?! Абсурдно е!",Негативен,0.96,гняв
"Совите не са това, което са! 33% за ***!?! Вероятно е платил на совите, лошо е ако се е добрал до машините с опълченците на Петрохан и умник Гюро!",Негативен,0.82,недоверие
До: БанкеръВеличие няма да ги огрее парламента!,Негативен,0.78,пренебрежение
"Колкото и да лъжете, няма да промените нагласите на българите! Когато Волен Сидеров навремето влезе с 12% в парламента, същите тия му даваха 2,8%. Който киха парички на социолозите него го слагат на челните места! Със закон трябва да се забранят тези проучвания! Вредни са колкото и хазарта и едва ли някой им вярва.",Негативен,0.95,гняв
"Моите прогнози са Радев 20,Герб19,ПП 15,ДПС12,Възраждане8,Виличие7,Меч4,5,БСП3,ИТН3,АПС2,Сияние 1 и т.н.Все пак активиста на ГЕРБ ще вземе субсидийка.",Неутрален,0.72,ирония
"Що се излагате ,бре ?! Поне 333 пурцента ще спечели другаря на другарите :))) Машалла!",Негативен,0.82,насмешка
"Аз мисля, че Румен Боташев ще има 99,9% от всички гласували. Най-хубавото тепърва предстои.",Позитивен,0.96,оптимизъм
Къде е Величие бе платени мекерета????? Кво сияние бе хахахаха,Негативен,0.95,гняв
"Не 33,5 %, а НАД 99,5 % е подкрепата за другаря Радев !",Негативен,0.68,сарказъм
"Тази прогноза е по-вярна - с 2% е завишен рейтинга на ПБ, с 2,5-3% този на ГЕРБ, останалите са близки до истината. ИТН и БСП ще отпаднат - ИТН заради честите непремерени изказвания на Тошко Африкански в НС, а БСП - заради продажността на Зафиров и компания.",Негативен,0.88,разочарование
Язе ще гласувам за другаря Петроханов.,Неутрален,0.9,спокойствие
С Боташ напред!,Позитивен,0.82,ентусиазъм
Старите комунисти с помощта на саксийните си комсомолци се опитват да направят рестарт *** кръглата маса и да раздадат пак виртуално куфарчетата на избраните си роднини.,Негативен,0.94,гняв
