,sentiment,confidence,dominant_emotion
Този пак са го изтървали от 4 ти км....,Негативен,0.88,презрение
Аз искам Кампари ориндж!,Позитивен,0.65,желание
в косите при 40 градуса по Целзий ще въздейства убийствено възпламеняващо на съзерцаващите.,Негативен,0.72,напрежение
"Културата идва от хората.... ти говориш за шоу бизнес, аман от неуки и бездарни ""артисти""!",Негативен,0.95,гняв
"ако входа не е безплатен а посещенията- организирани, кой точно ще иде да помогне на тая леличка да си хване таргета?",Негативен,0.82,раздразнение
"в държава, в която премиера говори за намаляне на пенциите, тристате милиона бюджет на министерството на културата отиват за фестивалчета, художествена самодейност и командировки, а певците от софийската опера пеят за шрек началника им да може да плати тока.",Негативен,0.94,възмущение
си е в хората. Често хората са значително по-културни от т.н. носители на култура.,Позитивен,0.72,одобрение
"Първо нека да достигне до вас, защото вие сте все още брутални, агресивни, лъжци, кадци и много алчни българи от български произход.",Негативен,0.98,гняв
Изтрещял свят.,Негативен,0.9,разочарование
"Самопровъзгласилата се за ""най-богатата котка в света""...===Самопровъзгласилата се??? Това е котка. Тя няма представа какво е богатство. Не може да се провъзгласи за нищо. А самопровъзгласилата се журналистка е смешна.",Негативен,0.92,подигравка
Тоя къв се пада на азис!?,Неутрален,0.78,любопитство
Ритарди Би каза че ги е видяла да се обяздват и да скимтят докато слушали песента на Васко Жабата.,Негативен,0.62,подигравка
"Кажете просто, че и евреина я е боцнал. Няма защо да го овъртате.",Негативен,0.78,раздразнение
Ритарди Би ще и спретне торта Гараш и ще я въведе във възходите и паденията на пернишкия винкел.,Неутрален,0.68,ирония
Коя е Мая Джама и кой е Рубен Диас?,Неутрален,0.98,любопитство
"Егати яката новина , евала",Позитивен,0.98,радост
"Ако беше махнала и розовия бански, щеше да събере и още нещо в добавка ...",Негативен,0.68,похот
Що за глупости?,Негативен,0.95,раздразнение
"Представям си нашиОТ неук бачкотещ баачкер россофил, печелещ НА Испания на година, колкото нормален човек у нас на месец, как ще бере ягодите от вкъщи :)))",Негативен,0.92,презрение
"Според мен е голяма глупост тази ""работа от вкъщи"". Моето семейство никак не се радва...Хосе, 46 год. Патоанатом.",Негативен,0.92,недоволство
И строителите ли ще работят от дома си? За братпеда питам. Прави басейни.,Неутрален,0.78,ирония
"Кифла е много развълнувана от ""тенденциите""",Позитивен,0.82,вълнение
"За който не...знае,Бедечка е едно поточе, което...извира от баирите над Ст. Загора и пресича града. Та заралии от местен...патриотизъм имат следния лаф - ""Бедечка,до...Бедечка и става Черно море.""",Неутрален,0.78,забавление
"Нема мое, нема твое, сичко е БЕРОЕ !И загорелка в двулитровки на тумбак !",Позитивен,0.86,радост
Аз предпочитам ущипци иплескавици.,Неутрален,0.82,спокойствие
"Сръбски, сръбски .. колко да са сръбски кебапчеата?!",Неутрален,0.72,скептицизъм
"Пуштай Миле Китич, режи рикийъта, сипвай салатата и давай чевапчиците насама !",Позитивен,0.86,веселие
"Все си мислех,че германците са разумни и прагматични,но и там се намират заухавци,които са си купили ""ЛАДА"".",Негативен,0.89,презрение
"Те швабите фалираха собственото си производство на автомобили, та лада ще пожалят, само чине електрокарите стават, но те не се купуват. На къде отиват швабите, ясно е на велосипеди.:))",Негативен,0.87,сарказъм
В Германия Лада Нива е на почит.,Позитивен,0.9,уважение
"Моето наблюдение е, че ладите нива преди 1990-96г., бяха по-здрави (и пак с постоянни ремонти) от тези след това. От 1990г., само скапват качеството и конкуренцията ги изяде. Няма как с влошена механика от преди 50г да вървиш напред и да печелиш пазари.",Негативен,0.95,разочарование
"До: Правилно Къде къде по-болен трябва да си, за да напишеш подобен идиииотски коментар. Преди да пишеш, провери колко члена има фен клуба на Лада в Германия и дали тази фирма е продавала добре коли, преди гадното им правителство да я фалира, чрез незаконни разпореждания за бизнеса",Негативен,0.96,гняв
"Колко са спрости българюнгите, те не знаят, че всички планински земеделци в цяла Европа са на Лада Нива или Сузуки Самурай",Негативен,0.95,презрение
"Вносителят на руската Лада си беше добре и си има до ден днешен много клиенти в Германия. Фалираха го управниците там начело с канцлера ""болка"" (Шмерц). Прокараха закон, с който забраняват вноса на коли от Русия и забраняват каквито и да е плащания от Германия към Русия и от Русия към Германия за каквито и да е фирми. С подобно изнасилване на ""свободния"" пазар на Запад, законодателството там и добрите нрави, само миналата година фалираха над 65 000 немски фирми. С акушерката начело всичко фалира",Негативен,0.95,гняв
Фирмите в Германия тепърва ще фалират при тези високи цени на енергоресурси,Негативен,0.92,тревога
"Някой от великите разбирачи с коментарите под моя изобщо карал ли е Лада Нива в условията, за които е създадена. Заюо питам ли, ами защотоп пртеди години ми се налагаше да обикалям по работа по язовирите. Във всякакво време и метео условия. Че и по границата също. И какво ми видяха очите - прехвалените ровъри, двипове и сие просто оставаха в калта или в началото на баира. А нивата бавно и полека мина по всичките пътища и без пътища. Та това ми е опита. Отделно нещо е цената и. Ми, правете си изв",Позитивен,0.68,раздразнение
"Колко трябва да си болен, че да купиш руска кола в Германия е въпроса",Негативен,0.95,презрение
"Нищо, сега може да започнат да внасят в Германия електрически москвичи!",Негативен,0.72,ирония
Даже много закъсняха!,Негативен,0.92,раздразнение
нормално за всичко руско,Негативен,0.62,пренебрежение
Абе само факта че лади са се продавали в Германия е изумителен. Някакви немски соцаджии мазохисти са ги купували. Дори нашите соцаджии не ги искат,Негативен,0.92,презрение
Хи-хи-хи.,Позитивен,0.82,радост
"Качествен сервиз ..?!? На какво, бре?!?! На печки на твърдо гориво. Качествен сервиз се прави на автомобил.",Негативен,0.9,раздразнение
Ще ни ги продават нов внос. Тук части още има.,Негативен,0.62,скептицизъм
Свободната западна пазарна икономика какво представлява е ето какво е тоталитарна икономика.,Негативен,0.82,недоволство
"А в България този проблем стои много отдавна, затва лежим под Нивите, ние, вместо въпросните ""майстори"", които са кат доктоРите маа, земат ЕДНА БАЛА ПАРИ и плачат колко труд са фърлили. Ами, не ставай автомонтьор, та йевъ, СТАНИ ПИАНИСТ!",Негативен,0.96,гняв
Машина времени - тотал гарбич для советские мариконив,Негативен,0.95,презрение
"До: анонимен1 ***, един човек ми каза че много разбираш от кашкавал и от кетъринг. верно ли е?",Неутрален,0.87,любопитство
"спрете да напъвате велиан да се случат. търкаляйте си ги по програмките усвоявайте си усвояванки и пуснете гювеч на некой нормален музикант, заминахте концертна дирекция еви му меча",Негативен,0.87,раздразнение
"Като чета изискванията,май ще трябва и химическа тоалетна на сцената!Банани и вино,боб с варени яйца",Негативен,0.72,раздразнение
"Това с виното стана малко на традиция. Всяка група си избира нещо от държавата домакин да я хвали и последните години решиха повечето да ни хвалят виното, колко хубаво било.",Неутрален,0.82,скептицизъм
"За тия само вкисната боза, вкиснало кисело мляко с вода на айрян, кафе нова Бразилия че боли сърцето от него, бира от Лидъл евтина и топла, и заключени тоалетни..... А за енергиите напитки само Боост и Шарк че са *** марки, щот без тва тяхното не е музика, ама може по една баница и шкембе чорба да разправят после колко са хубави",Негативен,0.95,презрение
"Каква звиздъ е Филип Киркоров? Блатен символ на блатната шлака,абсолютно неизвестен извън прогнилия совок.",Негативен,0.98,презрение
"Киркоровците вият грозно,зловещо",Негативен,0.95,отвращение
Тоя рашиски индивид от обратната страна на тротоара да ходи при ритонките да се жалва.Рашиския индивид без Ала Погачова си беше абсолютна мърлааа.,Негативен,0.98,презрение
"yкропите почнаха да си връщат окупирани територии, пускайте машината за жaлкa пропaганда да мели :)))))))))",Негативен,0.86,презрение
стига сте ни занимавали с руски връзки и глупости,Негативен,0.92,раздразнение
хъра мъра на пудуенската гара неква бара под хастара зара на зъбара шо праи гЪргара с мъжката отвара и мляска ли мляска и бара бара под хастара.,Неутрален,0.58,закачливост
Стига вече сте ни занимавали с тая употребена чалгаджийка. Поредният *** начин да се насажда омраза към Русия. Дарина дето направи за резил българската култура - да си мълчи.,Негативен,0.97,гняв
"От фенове съм чувал, че конкурса ""Евровизия"" е бил нЪгласен предварително срещу Кексуални услуги, а за колежките на Дара: Емилия на Башур и Джорджия на Руския казаха, че били пУръчвани от фенове и след като, забременяли от тях иСмамили мъжете си, че децата са от тях, като Джорджия била имала силни връзки с хора, които манипулирали теста за бащинство и иСмамила Кирчо Руския, че детето е от него и аз, като бях млад имах такива жени и като разбрах, че ме иСмамиха не им давах издръжка.",Негативен,0.93,гняв
"Аре, бе... той па стана любимец на пост-съветските зрителей и слушателей, благодарение на българските композитори. Изпя в клоунски екип сумати наши песни на съветски език, ожени се за Ала, която стана звезда с песен на Емил Димитров, а рудките интелектуалци не могат да го понасят. Жив и здрав да е, този ходещ кич, забавен е...",Негативен,0.78,ирония
Да те е страх в България да поздравиш някой. Веднага сифмисли че искаш да му вредиш.,Негативен,0.93,страх
"Ама Киркоров има ли нужда от славата на Дара? Той отдавна е звезда, сериозно ли мислите че той се умилква за признания? Ако някой ви праща поздравления, просто благодариш. Само дивака почва да се заяжда.",Негативен,0.82,раздразнение
"Щях да се учудя ака в България не избухнеше крамола. Българите не заслужават нито медали, нито награди, нито празници. Веднага избухва еснафска разправа, веднага някой нещо иска да им отнеме, веднага някой се възползва от тях, веднага някой им краде успеха...Дребни комплексари.",Негативен,0.98,гняв
А коя е Дара?,Неутрален,0.95,любопитство
"Лили Иванова няма как да донесе Евровизия в БГ, защото тя не може да танцува и никога не е можела! Заслугата е на Дара и тези, които са й помогнали! Изпълнението й беше супер ,перфектно!",Позитивен,0.68,възхищение
"Дара - не навлизай в обяснения, защото ще станеш за резил. Киркоров е намерил човек, който е платил. Неслучайно Милутинова, която плонжира пред всичко украинско си трае. Успехът бил твой, ама без парите осигурени от Киркоров как щеше да стане ? И ако продължаваш да ръсиш глупости, Киркоров ще извади документи Той е стара кримка.",Негативен,0.97,гняв
Дара Бара Хастара на Подуенската Гара Ахара Ахара Ахара,Неутрален,0.92,неутралност
"Тия от Виржиния рекърдс ще и пуснат няколко пъти парчето по чалгаджийските си канали,няколко интервюта и край! Киркоров е от стара коза яре и може да и помогне още много! Всички певци и певици които и до днес пеят изкараха луди пари в СССР! Всички! Киркоров кара Линколн!",Негативен,0.76,разочарование
"Това момиче няма какво да се меси в неща , които не трябва да я интересуват! Тука сега ще си отворят устата и други хора и тя ще обере пешкира!",Негативен,0.95,гняв
"Е да де! Дара сама отиде в БНТ,намери пари и екип! Или чалгаджиите от Виржиния рекърдс изкопаха парите! А бе хубава работа стана,ама българска!",Негативен,0.86,раздразнение
"До: ВарненецЯвно не можеш да разбереш... , жалко за тебе. А за момичето, нека се развива, но не чрез нагласени конкурси. Визирам вътрешния на БНТ",Негативен,0.88,разочарование
Арменско-руския Азис случайно роден във Варна се чуди как да стане пак релевантен след едно определено гей парти дето стигна до медиите,Негативен,0.88,презрение
"До: анонимен 170Това не противоречи на мнението, Жалко е за момичето..,",Негативен,0.78,съжаление
"До: цицетоНе мога да разбера какво ровите там, където нямате работа! Кой на кого и какво ще носи, дали мед, или жила от пчели си е тяхна работа, а е съвсем в реда на нещата вложеният труд, контакти и пари след постигнат успех да се осребрят!",Негативен,0.86,гняв
"И за да сме кристално ясни опираме до два варианта:...1.Киркоров Лъже и ...2.Дара и екипът й лъжат! Остава да разберем кой как, какво, кога и защо и накрая да не се окаже, че Киркоров ИМАЛ намерение да даде пари, ама после пък се свързал с друг, който ги дал вместо него и всичко да стане едно огромно кълбо от лъжи!...Така, че СПРЕТЕ СЕ!",Негативен,0.92,гняв
ХАЙДЕ МОЯ МАЛКА БАНГАРАНГА DARA ДАЙ МИ СИЛИКОН И ДЖУКИ...,Позитивен,0.72,ентусиазъм
"Ееех Даре, Даре, жалко е че не можеш да разбереш че ти си един продукт в който хора като Армутлиева са инвестирали и сега искат да си избият парите. Когато не си им необходима, ще намерят друга Дара да им носи мед..",Негативен,0.92,разочарование
"до 63: не си прав. Това казвам, група от много влиятелни личности тази година бяха в нашия щаб. Лили Иванова да беше излязла, те пак щяха да и осигурят победата.",Неутрален,0.62,скептицизъм
"продължение от 164:групата, която се занимава с фалшификацията на Евровизия, този път идва в БГ, като преди това е била водящ елемент за победите на други участници за посл. 10 г. :)Нямам потив българи да побеждават някъде. Имам против истината да се изкивява. Сама Дара нямаше да мине 3-то място на конкурса още в БГ.",Негативен,0.86,недоволство
Филип със сигурност има македонски корени.Щом той е измислил и написал песента.Остана и изпълнението да е негово.,Неутрален,0.78,увереност
"Много симпатична девойка. Страхотен характер, красива и талантлива. Класа при срещата с Рублен и отново с Филип.",Позитивен,0.98,възхищение
"Баба Яга на Евровизия.Да каже кой е спонсора и свързаните около него вифури.Има твърдение, че победата е била дадена и това си личи още от манипулациите вътре на вотовете в БГ.Дара от 3-та става втора, а после 1-ва, след нарочно оставен сървър, който да приема вотове. Ясно е, че тези вотове са от скриптове, които цъкат числа. После се вижда, че тя ще остане макс втора и променят журито да определя 75 не 50% от тежестта. И Дара вече е първа.",Негативен,0.94,гняв
"Драго Чая и Филип Киркоров гейове ли са? За Драго Чая отдавна май се говори, че е гей.Не ми беше известно, че Драго Чая и Киркоров са имали гей връзка. Значи Драго Чая е направил връзката между Дара и Киркоров. Между другото Дарчето колкото повече си отваря устата по темата с Киркоров, толкова повече се излага. Да си беше мълчала по-добре. Сега такава реклама му направи на Киркоров, каквато не е и мечтал.",Негативен,0.86,неодобрение
"Ами то всичко е чуждо, само Дара е от Бг.:))",Позитивен,0.72,развеселеност
"Песента е направена от грък, румънец и швед ли беше, норвежец ли някакъв тампрез 2023-та, а излиза на Евровизия 2026. Киркоров е помогнал също. Значи Дара излезе на сцената да раздруса големите си дини и да изпее чужда песен, на английски и на ямайски. Какво и е българското на тази песен? Дара, еуфорията свърши. Вече пак си си същото момиче от село с противен диалект и вид на момиче за повикване и която го обича повече от хляб. Стига с тая звездомания.",Негативен,0.98,презрение
"Сега с две думи, кой спечели Евровизия? Дара или Киркоров? То е ясно, че след всеки млад изпълнител стой спонсор, но какво от това? Мислите ли, че Уитни Хюстън или Майкъл Джексън са нямали спонсори в началото??? Какъв е този *** спор?",Негативен,0.82,раздразнение
"Научете я тая с постоянно отворена уста като кекс кукла какво да говори. Значи, песента е от 2023г написана специално за Дара, гърка казва че песента е написана от него и гръцкия му екип, Обаче, БНТ, дето се хвалят че не са дали нито един евроцент, организират ""конкурс"" за да ""изберат"" изпълнител"" при вече определен и дори разиграват ""зрителски вот"", Чужд спонсор, чужд автор на песента, чужди танцьори, подготовка в чужда държава.... КОЕ е българското? Ахаа, Дара. Нещо друго? Няма, нали?",Негативен,0.95,гняв
Дара е бездарна.,Негативен,0.95,презрение
Вълнувам се едно ме опъват за пръв път. Кога почва Световното ?,Позитивен,0.82,вълнение
"Ако е дал пари,с право се тупа по гърдите.Успеха е реалност.Сега да видим и кой е разрешил строежа на Баба Алино и кво е взел и дали удобно сега не е пуснал тази тема за да се занимаваме всички с нея.Арестите на Борисов и Пеевски трябва да са реалност,кражби,подправени документи за дефицита,отклонени средства към близки фирми",Негативен,0.86,гняв
Изгорете вещицата дара продала се на сатаната на кладата,Негативен,0.98,гняв
"Айде обяснете как песента е написана 2023 по поръчка на БНТ, а селекцията на изпълнителите на БНТ е януари 2026?",Негативен,0.78,недоволство
"Дарино,време е да се покриеш,еуфорията отмина като вчерашния дъжд,от който няма и следа.Чужда песен,чужди танцьори около нея,от теб се искаше само да са друсаш,за по голям ефект.",Негативен,0.92,презрение
Айдеее почна се селската дандания...давай даро покажи им кой е най-големия *** евровизионер.,Негативен,0.86,презрение
Те говорят за различни неща. Киркоров казва че е намерил спонсор без който изброените от Дара щяха да гледат евровизия по телевизията. Тя няма как да знае кой е спонсора,Неутрален,0.82,спокойствие
"Мачкай, Дарче. Тази песен е нещо феноменално...много хора са ми казвали че първия път когато са чули песента са искали да си изповръщат червата и след десетия път слушане са я заобикнали и най-вече Дара и нейното изпълнение и артистизъм по време на песента...какви очи вади на учудване, на присмех, на всякакви емоциии. Мисля и че с много от вас е така. Феноменална Дара! А геронтофила Киркоров да си го навре знае къде.",Позитивен,0.82,възхищение
"Обаче Драгомир Драганов каза по БНТ, че от БНТ са говорили с Киркоров. Това го има записано",Неутрален,0.92,неутралност
как така успеха не е на Киркоров. Всичките успехи са само за рассия.,Негативен,0.78,сарказъм
"Първо Киркоров не казва, че е помагал лично на Дара. ВТОРО Как така Дара или БНТ са поръчали песента 2023 г. и са я получили, а една година по-късно правиха ИЗБОР НА ПЕВЕЦ????? Точно това казва Дара в този коментар",Негативен,0.86,възмущение
Алооо автора руснакът Филип Кирков има Българско гражданство!,Негативен,0.68,раздразнение
"Най-щастрива от цябата работа е скумрията Саня Армутлиева, която сега ще изкара милиони от златната си рибка Дара !",Негативен,0.86,презрение
"Тоя абориген Христо Христов, тотално му е паднала веригата! Горкият, въобще не знае къде се намира! Чак да му стане жал на човек, колко мъка има по този Свят!",Негативен,0.96,презрение
"В целия този проект Бангаранга няма нищо българско освен изпълнителката. Песента е проста и безчувствена, изпяна на английски, но станала хит благодарение на безкрайно талантливата и артистична Дара.",Негативен,0.82,разочарование
"Ами че прав е Филип, тая женичка какво се penчu толкоз",Негативен,0.82,раздразнение
"Абе направо Киркоров е спечелил Евровизия, нека да е на чибурашките и без туй имат много комплекси за избиване!",Негативен,0.92,презрение
"Киркоров се чуди как да привлече вниманието към себе си,не си струва изобщо да му се отговаря!",Негативен,0.92,презрение
"и какво толкова е казъл Киркоров та подскача нашата ,май ще пресоли манджа5а накрая",Негативен,0.78,раздразнение
"DARA стана известна в цял свят, а този руски гей освен в просия и пенсионерите в България, никой не го знае кой е.",Негативен,0.92,презрение
"Има си хас, Русия да не си препише успеха на България! Щеще даже да е неестествено! Те и азбуката и религията са я взели от небето а не от България :)))",Негативен,0.82,ирония
"ДАРА бъди по-скромна, трите дни слава отдавна минаха!",Негативен,0.92,пренебрежение
"Киркоров много ясно подчерта,че е мълчал дълко време именно заради такива спекулации! Дара,дали щеше да направиш това сама? Я малко свали гарда! Прекаляваш! Омазахте се вече-като че ли кой знае какво е станало!",Негативен,0.88,раздразнение
Нищо не помниш .Мача беше в София и ги бихме с гол на покойния Трифон Иванов .Не на сред Москва.,Негативен,0.62,раздразнение
Като се наяде въшката излиза на челото!!,Негативен,0.92,презрение
Лъже като руснак...,Негативен,0.92,презрение
"Хайде пак силиконови писъци. Малко изчезна от общото внимание и веднага се чуди как да го върне към себе си. Дарче, ти вече си употребена от когото трябваше. Кротни се някъде и не влошавай нещата за себе си с излишен шум.",Негативен,0.98,презрение
"Какви ги говори безДара? Варна е родила само два таланта в историята си- другарят Киркоров и моята скромна милост! Вярно, списъкът е доста къс и мек, но това е положението!",Негативен,0.82,ирония
"Ако сега има анкета по целия свят коя е ДАРА, и кой е този мазен прикрит гей? Освен в рашистан и Бг някой чувал ли е за това затлъстяло чучелЬо. Дори верният му хомосексуален почитател Драго Чая изглежда по-човешки, след като ходи в Турция да му изсмучат тлъстините",Негативен,0.98,презрение
"не знам с какво тая песен(ако може да се нарече ) която е най меко казано посредствена ,ви кара да се гордеете че сте българи, нито текста е български , нито музиката , нито хореографията , дори не се пее на български",Негативен,0.96,разочарование
На Дара,Неутрален,0.95,спокойствие
"Честно казано, аз се срамувам от това изпълнение и тая песен. Защото не се отъждевявам нито с музиката, нито с маймунджелъците, нито сега с отрицанието, само и само да удовлетворим умраинската мафия в България.",Негативен,0.97,срам
Достоен отговор,Позитивен,0.82,одобрение
Какъв успех?!?,Негативен,0.78,раздразнение
"На Натаняху трябва да благодари, като и на кирчо и кокорчо, туквун, прасчо и чорапчето че скалъпиха бюджета да се приеме еврото ...",Негативен,0.88,недоволство
"То па един успех , Бюджета скъсан ,днес ще теглим 3,9 Милиарда Заем , но за таз натрапена ни тъпня еврошизовизия пари имаме .",Негативен,0.95,гняв
"До: Цитат, само ти ли не си разбрал? нема инвеститор, има гръцка продуцентска компания, с която БНТ работи от години, а правата за Евровизия са на БНТ това е !",Негативен,0.78,раздразнение
"То па една песен... Само името и песен. А Киркоров щом казва, че е намерил пари, значи е намерил.",Негативен,0.82,пренебрежение
Дарче тая работа не като оная работа,Неутрален,0.72,спокойствие
"До: анонимен109 Е ,пращаме ги обратно при зелето им.Почнахме ги в Баба Алино тия наглари!",Негативен,0.88,гняв
"Ако не беше България,тоя нямаше да го знаят.",Негативен,0.82,презрение
"От статията за изявлението на Киркоров:""Той отново подчертава, че без него ""Катя, Емил Кошлуков и инвеститора, чието име, разбира се, се пази в тайна по много причини, тази победа нямаше да се случи"".________ЗАЩО СЕ ПАЗИ В ТАЙНА ИМЕТО НА ИНВЕСТИТОРА? Някой руски олигарх?! Да не е ГГ който инвестира и в РР?",Негативен,0.86,недоверие
До: анонимен109 Е може и обратно в Украйна при зелето им.Почнахе ги в Баба Алино!,Негативен,0.78,гняв
"спомням си навремето, когато Христо Стойчков играеше. имаше един мач България-Русия та ги бихме насред Масква, и един нагъл руски журналист пита некакви глупости Ицето и вмъква там некъде че ни били асвабадили 2 пъти и Ицето му отговаря "" е ние сага ви освободихме вас от участие на световното"" :))))",Позитивен,0.92,радост
"Споко, то скрито, покрито не остава, чия заслуга е, ще стане ясно.:))",Позитивен,0.78,спокойствие
Напълно очаквано БНТ мълчи понеже те имат договор не дара,Негативен,0.78,разочарование
Да не би да е помогнал Гарабедов и да е станала грешка с Киркоров?,Неутрален,0.62,скептицизъм
"Този престарял руски гей (и там има такива и то много), който го е ударила деменцията,що трябва да му се обръща внимание?",Негативен,0.96,презрение
"До: анонимен105 Този сайт е български,а не украински!",Негативен,0.72,раздразнение
Саня я подкокоросва да отговаря така,Негативен,0.72,раздразнение
В този сайт само руски ***.,Негативен,0.86,раздразнение
"До: iva, не че нещо, ама Киркоров в момента неможе дори и за себе си да намери спонсор",Негативен,0.86,ирония
"Украйна ,вън наглите украини от България!",Негативен,0.98,гняв
"Евровизия е таква боза, че призовото място въобще не означава най добра песен и изпълнител. Не чуваме нищо за големи успехи и световни концерти на победителката, но топлим манджата с интриги и извъртане на реплики. И след като се е потрудила да изреди чия е главната заслуга, продължавам да неудомявам какво точно и е българското на песента за да се идентифицирам с песента и успеха?",Негативен,0.92,разочарование
"идва от македония с помоша на русия, въобше има ли нещо за което руссия няма заслуга? звучи някак македонско, нали?",Негативен,0.78,ирония
"До: Ада на чебурашкитеДа и дежурната зомболашка ,която била чувала само руска реч в центъра на София,защото си е мислила,че София му е Киев се обади!",Негативен,0.86,презрение
стига ни занимавахте с Дарачето ;),Негативен,0.78,раздразнение
"Спокойна Дарче , не се пъни пред умно красивите, ще е викнат да пееш на гей парада и ще захлебиш грантчета",Негативен,0.92,презрение
"Някои не разбират български или нямат мисловна дейност. Той не е участвал в съставяне, представяне и всичко свързано с песента, а само с финансирането и. Ето какво е казал""По думите му, след среща с тогавашния директор на БНТ Емил Кошлуков, организирана от приятелите му от дует ""Ритон"", Киркоров е намерил инвеститора, който е дал средствата за участието на България в ""Евровизия"".",Негативен,0.82,раздразнение
"Киркоров е просто кремълския шуут, не заслужава дори и да бъде коментиран",Негативен,0.98,презрение
Тоест ако не беше Киркоров Дара никой нямаше да я знае и да си пее по трунето на Кока кола по селските площади,Негативен,0.92,презрение
"Дара да изпее долу Украйна,марш от България нагрли украинци ще стане национална геройка.Ще ми строи тук Али Баба незаконно и ще си прави Украйна.Айде.Че наглярите от Украйна чак са му повярвали.",Негативен,0.95,гняв
Браво момиче! Поставила си го на мястото му.,Позитивен,0.92,одобрение
До: анонимен 76..така е от Бургас е но не знам да има българско поданство...а щом подкрепя войната в Украйна...зае...го...,Негативен,0.86,гняв
Като не дава бг данъци много ясно че ще търсат от чужбина. Босфор тв и домуса що не платиха на Дара и дружина. Шот са ес и стиснати нали. Ама после се селфират с Дара в преди обет нали .Днешно време нищо не става без пара и то без много пара.,Негативен,0.86,гняв
"бнт не е дал един цент , ама било иначе морална подкрепа, даже и песента не е тяхна ми на продуцентите и всики приходи отиват при тях",Негативен,0.86,разочарование
"Дара,като ти пожелавам добро здраве и все така самоуверена,трябва да ти кажа,че победата ти е политическо решение на онези двете кобри У и К.Така,че презими се малко .",Негативен,0.92,презрение
"Така ли му викат вече- морална подкрепа? Намерил парите човека, намерил продуценти. Ха-ха ха-ха ха-ха ха-ха",Негативен,0.82,насмешка
Може да е свързал Кошлуков със спонсори.Но по никакъв начин не е помогнал на Дара.Таксата за участие на Евровизия се плаща много по-рано от избирането кой певец ще представя България и с коя песен.Това беше определено от зрителите на БНТ с гласуване.,Неутрален,0.82,спокойствие
"Добре бе, ако БНТ не са дали парите над 1 млн евро за участието на Дара на Евровизия, то кой е дал тези пари?",Негативен,0.64,възмущение
"Намерил хората и парите Дарче, това не е морална подкрепа",Негативен,0.82,разочарование
"До: тваДа и тук като му набиеш шутовете на някой нагъл украинец ,който си е въобразил,че е в Украйна може да казва само усофили.",Негативен,0.93,гняв
Да подкрепим Дара с един мощен шут по ненаситните руски заgнuци.,Негативен,0.92,гняв
"българина е гоуем, баце - дупедатите си дигнаха заплатите и на секи 3 месеца да се дигат още, на другите да се замразат, от пенсиите да се земе, че им е много - никой не му пука, но глей за Дара, че се изпотепат кой да я изкара по-велика",Негативен,0.94,гняв
До: тва.. 79... Да не са те правили та знаеш..,Негативен,0.78,раздразнение
"До: ДАРА ИЗПЕЙ ПЕСЕНТА..Е тук да не е Украйна,а?",Негативен,0.82,раздразнение
Ме руснаците са като македонците на всяко гърне мерудия. Хубаво го нахрани...,Негативен,0.82,раздразнение
До: История... Киркоров Е българин от Бургас..,Неутрален,0.85,спокойствие
"единствено македонците са най-скромни. Не врякат, но си знаят, че цял свят е наясно, че щом Сайрил анд Митоудий са македонци, значи и бангаранга е македонска",Негативен,0.82,ирония
казваш руснак и не коментираш повече..,Негативен,0.78,презрение
"Киркоров дори и да е дал 100 рубли в което дълбоко се съмнявам е много грозно след това да го натякваш, да се самоизтъкваш и да искаш вечна благодарност. Но това си руска имперска политика още от руско-турската война от която насам българите не можем да се отблагодарим по никакъв начин на Русия дори и след 5000 години.",Негативен,0.95,възмущение
Типично за руснаците да лъжат за всичко,Негативен,0.95,гняв
"Абе те кирилицата, матрьоршката, Волжка България... каво ли не окрадоха, сега с една Бангаранга ли няма да се пробват.",Негативен,0.87,възмущение
"Неблагодарността не е добро качество! Дори с един цент да ти е помогнал не се говори така. Морална подкрепа. Каква морална подкрепа ако ти е помогнал финансово? Всички знаем, че БНТ нямаше пари за участие в Евровизия години наред.",Негативен,0.92,възмущение
"Не че нещо, ама Киркоров нема една негова песен, всичко му е крадено, целия му успех е вследствие на присламчване към един или друг изпълнител, навремето се присламчи до гоумите сисии на ритонката, добре че бате Здравко е айляк, иначе никога немаше да стане известен, после се присламчи до Погачова ... и така:) и понеже кариерата му в рашка е тотален провал в момента и здраво го е закъсаал се чуди къде сега да се присламчи",Негативен,0.97,презрение
"дараранга даже не е и разбрала за какво иде реч, но се из*** неподготвена",Негативен,0.92,презрение
ЕИИ ДАРО ОТМЕСТИ СЕ ОТ ПЕИСАЖА ! ПРЕЧИШ !,Негативен,0.95,раздразнение
Явно все пак е дал пари.....,Неутрален,0.72,изненада
"Той говори за МАТЕРИАЛНАТА подкрепа, а не кога е писана песента и кой я е писал! Финансирането и осигуряването на вота за първото място безспорно е дело на Русия, в лицето на Ф.Киркоров. Това че сега някои са бесни, че Киркоров се е разприказвал за нещо за което е трябвало да се мълчи, си е техен проблем. А за гръцкия продуцент Илиас Кокотос вече се появи информация че е човек близък до Путин и неговата компания е тази с която работи с Киркоров.",Негативен,0.82,възмущение
Важното е да има зрелища докато събирате капачки за линейки хахаха роби,Негативен,0.92,презрение
Сега цяла година ще ни занимават с тези глупости,Негативен,0.95,раздразнение
Колко не им се иска на някои да си признаят че помощ пак дошла от Русия)),Негативен,0.72,ирония
"Рашистански пропагандист и прикрит, но очевиден хомосексуалист. Как да не е лъжец",Негативен,0.98,гняв
